DOMAIN	ACC	DEFINITION	DomainFreqbyProtein	DomainFreqinProteome
3HCDH_RFF	PF18321	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain	NA	NA
40S_S4_C	PF16121	40S ribosomal protein S4 C-terminus	0.00014708766424789175	0.00014708766424789175
40S_SA_C	PF16122	40S ribosomal protein SA C-terminus	4.902922141596391e-05	4.902922141596391e-05
4F5	PF04419	4F5 protein related disordered region	0.00014708766424789175	0.00014708766424789175
4HB	PF17947	Four helical bundle domain	NA	NA
4HBT	PF03061	Thioesterase superfamily	0.0003432045499117474	0.0004902922141596392
4HBT_2	PF13279	Thioesterase-like superfamily	4.902922141596391e-05	4.902922141596391e-05
4HBT_3	PF13622	Thioesterase-like superfamily	4.902922141596391e-05	4.902922141596391e-05
4HB_MCP_1	PF12729	Four helix bundle sensory module for signal transduction	NA	NA
4HFCP_synth	PF04476	4-HFC-P synthase	NA	NA
4HPAD_g_N	PF18671	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal	NA	NA
4PPT_N	PF17837	4'-phosphopantetheinyl transferase N-terminal domain	NA	NA
4_1_CTD	PF05902	4.1 protein C-terminal domain (CTD)	0.00019611688566385565	0.00019611688566385565
5-FTHF_cyc-lig	PF01812	5-formyltetrahydrofolate cyclo-ligase family	9.805844283192783e-05	9.805844283192783e-05
5-nucleotidase	PF06189	5'-nucleotidase	9.805844283192783e-05	9.805844283192783e-05
53-BP1_Tudor	PF09038	Tumour suppressor p53-binding protein-1 Tudor	4.902922141596391e-05	4.902922141596391e-05
5HT_transport_N	PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus	4.902922141596391e-05	4.902922141596391e-05
5TM-5TMR_LYT	PF07694	5TMR of 5TMR-LYT	NA	NA
5_3_exonuc	PF01367	5'-3' exonuclease, C-terminal SAM fold	NA	NA
5_3_exonuc_N	PF02739	5'-3' exonuclease, N-terminal resolvase-like domain	NA	NA
5_nucleotid	PF05761	5' nucleotidase family	0.0002451461070798196	0.0002451461070798196
5_nucleotid_C	PF02872	5'-nucleotidase, C-terminal domain	4.902922141596391e-05	4.902922141596391e-05
60KD_IMP	PF02096	60Kd inner membrane protein	9.805844283192783e-05	9.805844283192783e-05
6PF2K	PF01591	6-phosphofructo-2-kinase	0.00019611688566385565	0.00019611688566385565
6PGD	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	4.902922141596391e-05	4.902922141596391e-05
7kD_DNA_binding	PF02294	7kD DNA-binding domain	NA	NA
7TM-7TMR_HD	PF07698	7TM receptor with intracellular HD hydrolase	NA	NA
7TMR-DISMED2	PF07696	7TMR-DISM extracellular 2	NA	NA
7TMR-DISM_7TM	PF07695	7TM diverse intracellular signalling	NA	NA
7TMR-HDED	PF07697	7TM-HD extracellular	NA	NA
7tm_1	PF00001	7 transmembrane receptor (rhodopsin family)	0.01402235732496568	0.014120415767797607
7tm_2	PF00002	7 transmembrane receptor (Secretin family)	0.0024024318493822317	0.0024024318493822317
7tm_3	PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	0.0010786428711512062	0.0010786428711512062
7tm_4	PF13853	Olfactory receptor	0.020886448323200628	0.020886448323200628
7tm_6	PF02949	7tm Odorant receptor	NA	NA
7tm_7	PF08395	7tm Chemosensory receptor	NA	NA
7TM_GPCR_Sra	PF02117	Serpentine type 7TM GPCR chemoreceptor Sra	NA	NA
7TM_GPCR_Srab	PF10292	Serpentine type 7TM GPCR receptor class ab chemoreceptor	NA	NA
7TM_GPCR_Srb	PF02175	Serpentine type 7TM GPCR chemoreceptor Srb	NA	NA
7TM_GPCR_Srbc	PF10316	Serpentine type 7TM GPCR chemoreceptor Srbc	NA	NA
7TM_GPCR_Srd	PF10317	Serpentine type 7TM GPCR chemoreceptor Srd	NA	NA
7TM_GPCR_Srh	PF10318	Serpentine type 7TM GPCR chemoreceptor Srh	NA	NA
7TM_GPCR_Sri	PF10327	Serpentine type 7TM GPCR chemoreceptor Sri	NA	NA
7TM_GPCR_Srj	PF10319	Serpentine type 7TM GPCR chemoreceptor Srj	NA	NA
7TM_GPCR_Srsx	PF10320	Serpentine type 7TM GPCR chemoreceptor Srsx	NA	NA
7TM_GPCR_Srt	PF10321	Serpentine type 7TM GPCR chemoreceptor Srt	NA	NA
7TM_GPCR_Sru	PF10322	Serpentine type 7TM GPCR chemoreceptor Sru	NA	NA
7TM_GPCR_Srv	PF10323	Serpentine type 7TM GPCR chemoreceptor Srv	NA	NA
7TM_GPCR_Srw	PF10324	Serpentine type 7TM GPCR chemoreceptor Srw	NA	NA
7TM_GPCR_Srx	PF10328	Serpentine type 7TM GPCR chemoreceptor Srx	NA	NA
7TM_GPCR_Srz	PF10325	Serpentine type 7TM GPCR chemoreceptor Srz	NA	NA
7TM_GPCR_Str	PF10326	Serpentine type 7TM GPCR chemoreceptor Str	NA	NA
7TM_transglut	PF14402	7 transmembrane helices usually fused to an inactive transglutaminase	NA	NA
8TM_micro	PF17028	8TM Microsporidial transmembrane domain	NA	NA
A-2_8-polyST	PF07388	Alpha-2,8-polysialyltransferase (POLYST)	NA	NA
A1_Propeptide	PF07966	A1 Propeptide	0.0003432045499117474	0.0003432045499117474
A2L_zn_ribbon	PF08792	A2L zinc ribbon domain	NA	NA
A2M	PF00207	Alpha-2-macroglobulin family	0.000588350656991567	0.000588350656991567
A2M_BRD	PF07703	Alpha-2-macroglobulin bait region domain	0.0005393214355756031	0.0005393214355756031
A2M_recep	PF07677	A-macroglobulin receptor binding domain	0.0005393214355756031	0.0005393214355756031
AAA	PF00004	ATPase family associated with various cellular activities (AAA)	0.00225534418513434	0.0025985487350460874
AAA-ATPase_like	PF09820	Predicted AAA-ATPase	NA	NA
AAA_10	PF12846	AAA-like domain	NA	NA
AAA_11	PF13086	AAA domain	0.0004902922141596392	0.0006864090998234948
AAA_12	PF13087	AAA domain	0.0005393214355756031	0.000588350656991567
AAA_13	PF13166	AAA domain	NA	NA
AAA_14	PF13173	AAA domain	NA	NA
AAA_15	PF13175	AAA ATPase domain	NA	NA
AAA_16	PF13191	AAA ATPase domain	9.805844283192783e-05	9.805844283192783e-05
AAA_17	PF13207	AAA domain	NA	NA
AAA_18	PF13238	AAA domain	0.00014708766424789175	0.00014708766424789175
AAA_19	PF13245	AAA domain	4.902922141596391e-05	4.902922141596391e-05
AAA_2	PF07724	AAA domain (Cdc48 subfamily)	9.805844283192783e-05	9.805844283192783e-05
AAA_21	PF13304	AAA domain, putative AbiEii toxin, Type IV TA system	NA	NA
AAA_22	PF13401	AAA domain	4.902922141596391e-05	4.902922141596391e-05
AAA_23	PF13476	AAA domain	4.902922141596391e-05	4.902922141596391e-05
AAA_24	PF13479	AAA domain	NA	NA
AAA_25	PF13481	AAA domain	4.902922141596391e-05	4.902922141596391e-05
AAA_26	PF13500	AAA domain	NA	NA
AAA_27	PF13514	AAA domain	NA	NA
AAA_28	PF13521	AAA domain	NA	NA
AAA_29	PF13555	P-loop containing region of AAA domain	NA	NA
AAA_3	PF07726	ATPase family associated with various cellular activities (AAA)	NA	NA
AAA_30	PF13604	AAA domain	9.805844283192783e-05	9.805844283192783e-05
AAA_31	PF13614	AAA domain	NA	NA
AAA_32	PF13654	AAA domain	NA	NA
AAA_33	PF13671	AAA domain	0.00044126299274367523	0.0004902922141596392
AAA_34	PF13872	P-loop containing NTP hydrolase pore-1	9.805844283192783e-05	9.805844283192783e-05
AAA_35	PF14516	AAA-like domain	NA	NA
AAA_5	PF07728	AAA domain (dynein-related subfamily)	9.805844283192783e-05	0.0005393214355756031
AAA_6	PF12774	Hydrolytic ATP binding site of dynein motor region	0.0007844675426554226	0.0008334967640713865
AAA_7	PF12775	P-loop containing dynein motor region	0.0007844675426554226	0.0007844675426554226
AAA_8	PF12780	P-loop containing dynein motor region D4	0.0007844675426554226	0.0007844675426554226
AAA_9	PF12781	ATP-binding dynein motor region	0.0006864090998234948	0.0007354383212394587
AAA_assoc	PF14363	Domain associated at C-terminal with AAA	NA	NA
AAA_assoc_2	PF16193	AAA C-terminal domain	4.902922141596391e-05	4.902922141596391e-05
AAA_assoc_C	PF09821	C-terminal AAA-associated domain	NA	NA
AAA_lid_1	PF17857	AAA+ lid domain	0.000588350656991567	0.000588350656991567
AAA_lid_10	PF17872	AAA lid domain	9.805844283192783e-05	9.805844283192783e-05
AAA_lid_11	PF18198	Dynein heavy chain AAA lid domain	0.0006864090998234948	0.0006864090998234948
AAA_lid_2	PF17863	AAA lid domain	NA	NA
AAA_lid_3	PF17862	AAA+ lid domain	0.001176701313983134	0.0013728181996469895
AAA_lid_4	PF17864	RuvB AAA lid domain	NA	NA
AAA_lid_5	PF17865	Midasin AAA lid domain	4.902922141596391e-05	4.902922141596391e-05
AAA_lid_6	PF17866	AAA lid domain	NA	NA
AAA_lid_7	PF17867	Midasin AAA lid domain	4.902922141596391e-05	0.00014708766424789175
AAA_lid_8	PF17868	AAA lid domain	NA	NA
AAA_lid_9	PF17871	AAA lid domain	NA	NA
AAA_PrkA	PF08298	PrkA AAA domain	NA	NA
AadA_C	PF18280	Aminoglycoside adenyltransferase C-terminal domain	NA	NA
AalphaY_MDB	PF04611	Mating type protein A alpha Y mating type dependent binding region	NA	NA
AAL_decarboxy	PF03306	Alpha-acetolactate decarboxylase	NA	NA
AAR2	PF05282	AAR2 protein	4.902922141596391e-05	4.902922141596391e-05
AARP2CN	PF08142	AARP2CN (NUC121) domain	9.805844283192783e-05	9.805844283192783e-05
AAT	PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	NA	NA
AATase	PF07247	Alcohol acetyltransferase	NA	NA
AATF-Che1	PF13339	Apoptosis antagonizing transcription factor	4.902922141596391e-05	4.902922141596391e-05
AA_kinase	PF00696	Amino acid kinase family	4.902922141596391e-05	4.902922141596391e-05
AA_permease	PF00324	Amino acid permease	0.00044126299274367523	0.0006373798784075309
AA_permease_2	PF13520	Amino acid permease	0.0007354383212394587	0.0007354383212394587
AA_permease_C	PF13906	C-terminus of AA_permease	0.0002451461070798196	0.0002451461070798196
AA_permease_N	PF08403	Amino acid permease N-terminal	0.00014708766424789175	0.00014708766424789175
AA_synth	PF06684	Amino acid synthesis	NA	NA
Aa_trans	PF01490	Transmembrane amino acid transporter protein	0.0008334967640713865	0.0009805844283192783
ABATE	PF07336	Putative stress-induced transcription regulator	NA	NA
ABA_GPCR	PF12430	Abscisic acid G-protein coupled receptor	9.805844283192783e-05	9.805844283192783e-05
ABA_WDS	PF02496	ABA/WDS induced protein	NA	NA
AbbA_antirepres	PF14156	Antirepressor AbbA	NA	NA
ABC-3	PF00950	ABC 3 transport family	NA	NA
ABC1	PF03109	ABC1 family	0.0002451461070798196	0.0002451461070798196
ABC2_membrane	PF01061	ABC-2 type transporter	0.0002451461070798196	0.0002451461070798196
ABC2_membrane_2	PF12679	ABC-2 family transporter protein	NA	NA
ABC2_membrane_3	PF12698	ABC-2 family transporter protein	0.000588350656991567	0.001176701313983134
ABC2_membrane_4	PF12730	ABC-2 family transporter protein	NA	NA
ABC2_membrane_5	PF13346	ABC-2 family transporter protein	NA	NA
ABC2_membrane_6	PF06182	ABC-2 family transporter protein	NA	NA
ABC2_membrane_7	PF19055	ABC-2 type transporter	0.0002451461070798196	0.0002451461070798196
ABC_ATPase	PF09818	Predicted ATPase of the ABC class	NA	NA
ABC_cobalt	PF09819	ABC-type cobalt transport system, permease component	NA	NA
ABC_export	PF16962	Putative ABC exporter	NA	NA
ABC_membrane	PF00664	ABC transporter transmembrane region	0.00112767209256717	0.0019121396352225926
ABC_membrane_2	PF06472	ABC transporter transmembrane region 2	0.00019611688566385565	0.00019611688566385565
ABC_membrane_3	PF13748	ABC transporter transmembrane region	NA	NA
ABC_sub_bind	PF04392	ABC transporter substrate binding protein	NA	NA
ABC_tran	PF00005	ABC transporter	0.0024024318493822317	0.003971366934693077
ABC_transp_aux	PF09822	ABC-type uncharacterized transport system	4.902922141596391e-05	4.902922141596391e-05
ABC_trans_aux	PF03886	ABC-type transport auxiliary lipoprotein component	NA	NA
ABC_trans_CmpB	PF06541	Putative ABC-transporter type IV	4.902922141596391e-05	4.902922141596391e-05
ABC_trans_N	PF14510	ABC-transporter N-terminal	NA	NA
ABC_tran_2	PF16949	Putative ATP-binding cassette	NA	NA
ABC_tran_CTD	PF16326	ABC transporter C-terminal domain	NA	NA
ABC_tran_Xtn	PF12848	ABC transporter	9.805844283192783e-05	9.805844283192783e-05
Abdominal-A	PF12407	Homeobox protein	NA	NA
AbfB	PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain	9.805844283192783e-05	9.805844283192783e-05
AbfS_sensor	PF18225	Sensor histidine kinase (AbfS) sensor domain	NA	NA
ABG_transport	PF03806	AbgT putative transporter family	NA	NA
Abhydrolase_1	PF00561	alpha/beta hydrolase fold	0.00112767209256717	0.00112767209256717
Abhydrolase_2	PF02230	Phospholipase/Carboxylesterase	0.00014708766424789175	0.00014708766424789175
Abhydrolase_3	PF07859	alpha/beta hydrolase fold	0.0003432045499117474	0.0006373798784075309
Abhydrolase_4	PF08386	TAP-like protein	NA	NA
Abhydrolase_5	PF12695	Alpha/beta hydrolase family	NA	NA
Abhydrolase_6	PF12697	Alpha/beta hydrolase family	0.0002451461070798196	0.0002451461070798196
Abhydrolase_7	PF12715	Abhydrolase family	NA	NA
Abhydrolase_8	PF06259	Alpha/beta hydrolase	NA	NA
Abhydrolase_9	PF10081	Alpha/beta-hydrolase family	NA	NA
Abhydrolase_9_N	PF15420	Alpha/beta-hydrolase family N-terminus	NA	NA
Abhydro_lipase	PF04083	Partial alpha/beta-hydrolase lipase region	4.902922141596391e-05	4.902922141596391e-05
AbiEii	PF08843	Nucleotidyl transferase AbiEii toxin, Type IV TA system	NA	NA
AbiEi_1	PF09407	AbiEi antitoxin C-terminal domain	NA	NA
AbiEi_2	PF09952	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	NA	NA
AbiEi_3	PF11459	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	NA	NA
AbiEi_3_N	PF17194	Transcriptional regulator, AbiEi antitoxin N-terminal domain	NA	NA
AbiEi_4	PF13338	Transcriptional regulator, AbiEi antitoxin	NA	NA
AbiGi	PF10899	Putative abortive phage resistance protein AbiGi, antitoxin	NA	NA
AbiGii_2	PF16873	Putative abortive phage resistance protein AbiGii toxin	NA	NA
AbiH	PF14253	Bacteriophage abortive infection AbiH	NA	NA
AbiJ_NTD3	PF18860	AbiJ N-terminal domain 3	NA	NA
AbiJ_NTD4	PF18863	AbiJ N-terminal domain 4	NA	NA
AbiJ_NTD5	PF18865	AbiJ N-terminal domain 5	NA	NA
AbiTii	PF18864	AbiTii	NA	NA
Abi_2	PF07751	Abi-like protein	NA	NA
Abi_alpha	PF14337	Abortive infection alpha	NA	NA
Abi_C	PF14355	Abortive infection C-terminus	NA	NA
Abi_HHR	PF07815	Abl-interactor HHR	0.00014708766424789175	0.00014708766424789175
AbLIM_anchor	PF16182	Putative adherens-junction anchoring region of AbLIM	0.00019611688566385565	0.0002451461070798196
ABM	PF03992	Antibiotic biosynthesis monooxygenase	0.00014708766424789175	0.00014708766424789175
Abp2	PF09441	ARS binding protein 2	NA	NA
AbrB	PF05145	Transition state regulatory protein AbrB	NA	NA
AbrB-like	PF14250	AbrB-like transcriptional regulator	NA	NA
AbrB_C	PF18277	AbrB C-terminal domain	NA	NA
Ac110_PIF	PF07280	Per os infectivity factor AC110	NA	NA
Ac76	PF05814	Orf76 (Ac76)	NA	NA
Ac81	PF05820	Baculoviridae AC81	NA	NA
ACAS_N	PF16177	Acetyl-coenzyme A synthetase N-terminus	0.00019611688566385565	0.00019611688566385565
Acatn	PF13000	Acetyl-coenzyme A transporter 1	4.902922141596391e-05	9.805844283192783e-05
ACBP	PF00887	Acyl CoA binding protein	0.0003432045499117474	0.0003432045499117474
ACCA	PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit	NA	NA
ACC_central	PF08326	Acetyl-CoA carboxylase, central region	9.805844283192783e-05	9.805844283192783e-05
ACC_epsilon	PF13822	Acyl-CoA carboxylase epsilon subunit	NA	NA
ACD	PF16671	Actin cross-linking domain	NA	NA
ACDC	PF14733	AP2-coincident C-terminal	NA	NA
AceK	PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK)	NA	NA
Acetate_kinase	PF00871	Acetokinase family	NA	NA
AcetDehyd-dimer	PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation	NA	NA
Acetone_carb_G	PF08882	Acetone carboxylase gamma subunit	NA	NA
AcetylCoA_hydro	PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain	NA	NA
AcetylCoA_hyd_C	PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain	NA	NA
Acetyltransf_1	PF00583	Acetyltransferase (GNAT) family	0.0010296136497352421	0.0010296136497352421
Acetyltransf_10	PF13673	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_11	PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2	NA	NA
Acetyltransf_13	PF13880	ESCO1/2 acetyl-transferase	9.805844283192783e-05	9.805844283192783e-05
Acetyltransf_14	PF03421	YopJ Serine/Threonine acetyltransferase	NA	NA
Acetyltransf_15	PF17013	Putative acetyl-transferase	NA	NA
Acetyltransf_16	PF05301	GNAT acetyltransferase, Mec-17	4.902922141596391e-05	4.902922141596391e-05
Acetyltransf_17	PF17668	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_18	PF18014	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_19	PF18015	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_2	PF00797	N-acetyltransferase	9.805844283192783e-05	9.805844283192783e-05
Acetyltransf_3	PF13302	Acetyltransferase (GNAT) domain	4.902922141596391e-05	4.902922141596391e-05
Acetyltransf_4	PF13420	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_5	PF13444	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_6	PF13480	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_7	PF13508	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_8	PF13523	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_9	PF13527	Acetyltransferase (GNAT) domain	NA	NA
Acetyltransf_CG	PF14542	GCN5-related N-acetyl-transferase	4.902922141596391e-05	4.902922141596391e-05
AChE_tetra	PF08674	Acetylcholinesterase tetramerisation domain	9.805844283192783e-05	9.805844283192783e-05
ACI44	PF15270	Metallo-carboxypeptidase inhibitor	NA	NA
Acid_phosphat_B	PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)	NA	NA
Acid_PPase	PF12689	Acid Phosphatase	4.902922141596391e-05	4.902922141596391e-05
AcMNPV_Ac109	PF05054	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein	NA	NA
AcnX	PF04412	Aconitase X	NA	NA
Aconitase	PF00330	Aconitase family (aconitate hydratase)	0.00014708766424789175	0.00019611688566385565
Aconitase_2_N	PF06434	Aconitate hydratase 2 N-terminus	NA	NA
Aconitase_B_N	PF11791	Aconitate B N-terminal domain	NA	NA
Aconitase_C	PF00694	Aconitase C-terminal domain	0.00014708766424789175	0.00014708766424789175
ACOX	PF01756	Acyl-CoA oxidase	0.00019611688566385565	0.00019611688566385565
ACP	PF06857	Malonate decarboxylase delta subunit (MdcD)	NA	NA
Acp26Ab	PF05777	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)	NA	NA
ACP53EA	PF06313	Drosophila ACP53EA protein	NA	NA
ACPS	PF01648	4'-phosphopantetheinyl transferase superfamily	4.902922141596391e-05	4.902922141596391e-05
ACP_PD	PF04336	Acyl carrier protein phosphodiesterase	NA	NA
ACP_syn_III	PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	NA	NA
ACP_syn_III_C	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	NA	NA
AcrZ	PF10766	Multidrug efflux pump-associated protein AcrZ	NA	NA
ACR_tran	PF00873	AcrB/AcrD/AcrF family	NA	NA
ACT	PF01842	ACT domain	4.902922141596391e-05	4.902922141596391e-05
Act-Frag_cataly	PF09192	Actin-fragmin kinase, catalytic	NA	NA
ActA	PF05058	ActA Protein	NA	NA
ACTH_assoc	PF16102	ACTH-associated domain	NA	NA
ACTH_domain	PF00976	Corticotropin ACTH domain	4.902922141596391e-05	0.00014708766424789175
Actin	PF00022	Actin	0.0015689350853108452	0.0016179643067268093
Actino_peptide	PF14408	Ribosomally synthesised peptide in actinomycetes	NA	NA
Actin_micro	PF17003	Putative actin-like family	NA	NA
Activator-TraM	PF11657	Transcriptional activator TraM	NA	NA
Activator_LAG-3	PF11498	Transcriptional activator LAG-3	NA	NA
Activin_recp	PF01064	Activin types I and II receptor domain	0.0004902922141596392	0.0004902922141596392
ACTL7A_N	PF16840	Actin-like protein 7A N-terminus	4.902922141596391e-05	4.902922141596391e-05
ACT_3	PF10000	ACT domain	NA	NA
ACT_4	PF13291	ACT domain	NA	NA
ACT_5	PF13710	ACT domain	NA	NA
ACT_6	PF13740	ACT domain	NA	NA
ACT_7	PF13840	ACT domain	0.00014708766424789175	0.0002451461070798196
acVLRF1	PF18859	Actinobacteria/chloroflexi VLRF1 release factor	NA	NA
Acyl-ACP_TE	PF01643	Acyl-ACP thioesterase	NA	NA
Acyl-CoA_dh_1	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	0.000588350656991567	0.000588350656991567
Acyl-CoA_dh_2	PF08028	Acyl-CoA dehydrogenase, C-terminal domain	NA	NA
Acyl-CoA_dh_C	PF12806	Acetyl-CoA dehydrogenase C-terminal like	NA	NA
Acyl-CoA_dh_M	PF02770	Acyl-CoA dehydrogenase, middle domain	0.0007354383212394587	0.0007354383212394587
Acyl-CoA_dh_N	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	0.0005393214355756031	0.0005393214355756031
Acyl-CoA_ox_N	PF14749	Acyl-coenzyme A oxidase N-terminal	9.805844283192783e-05	9.805844283192783e-05
Acyl-thio_N	PF12590	Acyl-ATP thioesterase	NA	NA
AcylCoA_dehyd_C	PF12186	Acyl-CoA dehydrogenase C terminal	NA	NA
AcylCoA_DH_N	PF12418	Acyl-CoA dehydrogenase N terminal	NA	NA
Acylphosphatase	PF00708	Acylphosphatase	9.805844283192783e-05	9.805844283192783e-05
Acyltransferase	PF01553	Acyltransferase	0.0007844675426554226	0.0007844675426554226
Acyltransf_C	PF16076	Acyltransferase C-terminus	0.0002451461070798196	0.0002451461070798196
Acyl_CoA_thio	PF02551	Acyl-CoA thioesterase	NA	NA
Acyl_transf_1	PF00698	Acyl transferase domain	9.805844283192783e-05	9.805844283192783e-05
Acyl_transf_2	PF02273	Acyl transferase	NA	NA
Acyl_transf_3	PF01757	Acyltransferase family	NA	NA
AC_1	PF18883	Autochaperone Domain Type 1	NA	NA
AC_N	PF16214	Adenylyl cyclase N-terminal extracellular and transmembrane region	0.0003922337713277113	0.0003922337713277113
AD	PF09793	Anticodon-binding domain	4.902922141596391e-05	4.902922141596391e-05
Ada3	PF10198	Histone acetyltransferases subunit 3	4.902922141596391e-05	4.902922141596391e-05
ADAM17_MPD	PF16698	Membrane-proximal domain, switch, for ADAM17	4.902922141596391e-05	4.902922141596391e-05
ADAM_CR	PF08516	ADAM cysteine-rich	0.0009315552069033144	0.0009315552069033144
ADAM_CR_2	PF17771	ADAM cysteine-rich domain	0.0009315552069033144	0.0009315552069033144
ADAM_spacer1	PF05986	ADAM-TS Spacer 1	0.00112767209256717	0.00112767209256717
Adaptin_binding	PF10199	Alpha and gamma adaptin binding protein p34	4.902922141596391e-05	4.902922141596391e-05
Adaptin_N	PF01602	Adaptin N terminal region	0.0006864090998234948	0.0006864090998234948
Adap_comp_sub	PF00928	Adaptor complexes medium subunit family	0.0004902922141596392	0.0004902922141596392
Ada_Zn_binding	PF02805	Metal binding domain of Ada	NA	NA
ADC	PF06314	Acetoacetate decarboxylase (ADC)	NA	NA
ADD_ATRX	PF17981	Cysteine Rich ADD domain	4.902922141596391e-05	4.902922141596391e-05
