DOMAIN	ACC	DEFINITION	DomainFreqbyProtein	DomainFreqinProteome
Agenet	SM00743	Tudor-like domain present in plant sequences.	4.902922141596391e-05	9.805844283192783e-05
Agglutinin	SM00791		NA	NA
Agouti	SM00792	Agouti protein	9.805844283192783e-05	9.805844283192783e-05
AGTRAP	SM00805	Angiotensin II, type I receptor-associated protein	4.902922141596391e-05	4.902922141596391e-05
Aha1_N	SM01000	Activator of Hsp90 ATPase, N-terminal	9.805844283192783e-05	9.805844283192783e-05
AICARFT_IMPCHas	SM00798	AICARFT/IMPCHase bienzyme	4.902922141596391e-05	4.902922141596391e-05
AIF_C	SM01353	Apoptosis-inducing factor, mitochondrion-associated, C-term	4.902922141596391e-05	4.902922141596391e-05
AIRC	SM01001	AIR carboxylase	4.902922141596391e-05	4.902922141596391e-05
AKAP_110	SM00807	A-kinase anchor protein 110 kDa	9.805844283192783e-05	9.805844283192783e-05
ALAD	SM01004	Delta-aminolevulinic acid dehydratase	4.902922141596391e-05	4.902922141596391e-05
AlaDh_PNT_C	SM01002	Alanine dehydrogenase/PNT, C-terminal domain	9.805844283192783e-05	9.805844283192783e-05
AlaDh_PNT_N	SM01003	Alanine dehydrogenase/PNT, N-terminal domain	9.805844283192783e-05	9.805844283192783e-05
ALBUMIN	SM00103	serum albumin	0.00019611688566385565	0.0005393214355756031
Aldolase_II	SM01007	Class II Aldolase and Adducin N-terminal domain	0.00019611688566385565	0.00019611688566385565
Ald_Xan_dh_C	SM01008	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	9.805844283192783e-05	9.805844283192783e-05
alkPPc	SM00098	Alkaline phosphatase homologues	0.00019611688566385565	0.00019611688566385565
Alpha_adaptinC2	SM00809	Adaptin C-terminal domain	0.00044126299274367523	0.00044126299274367523
Alpha_kinase	SM00811	Alpha-kinase family	0.0002941753284957835	0.0002941753284957835
Alpha_L_fucos	SM00812	Alpha-L-fucosidase	9.805844283192783e-05	9.805844283192783e-05
Alpha-mann_mid	SM00872	Alpha mannosidase, middle domain	0.0002451461070798196	0.0002451461070798196
Amelin	SM00817	Ameloblastin precursor (Amelin)	4.902922141596391e-05	4.902922141596391e-05
Amelogenin	SM00818	NA	9.805844283192783e-05	9.805844283192783e-05
Ami_2	SM00644	NA	0.00019611688566385565	0.0002941753284957835
AMOP	SM00723	Adhesion-associated domain present in MUC4 and other proteins	0.00019611688566385565	0.00019611688566385565
AMPKBI	SM01010	5'-AMP-activated protein kinase beta subunit, interation domain	9.805844283192783e-05	9.805844283192783e-05
AMP_N	SM01011	Aminopeptidase P, N-terminal domain	9.805844283192783e-05	9.805844283192783e-05
ANATO	SM00104	Anaphylatoxin homologous domain	0.0002941753284957835	0.0004902922141596392
ANK	SM00248	ankyrin repeats	0.011865071582663268	0.06918023141792508
ANTAR	SM01012		NA	NA
ANX	SM00335	Annexin repeats	0.0006864090998234948	0.0029417532849578347
AP3B1_C	SM01355	Clathrin-adaptor complex-3 beta-1 subunit C-terminal	9.805844283192783e-05	9.805844283192783e-05
AP4E_app_platf	SM01356	Adaptin AP4 complex epsilon appendage platform	4.902922141596391e-05	4.902922141596391e-05
APC10	SM01337	Anaphase-promoting complex, subunit 10 (APC10)	0.0003432045499117474	0.0003432045499117474
APC2	SM01013	Anaphase promoting complex (APC) subunit 2	4.902922141596391e-05	4.902922141596391e-05
APCDDC	SM01352	Adenomatosis polyposis coli down-regulated 1	9.805844283192783e-05	0.00019611688566385565
APPLE	SM00223	APPLE domain	9.805844283192783e-05	0.0003922337713277113
ARF	SM00177	ARF-like small GTPases; ARF, ADP-ribosylation factor	0.0020592272994704843	0.0020592272994704843
Arfaptin	SM01015	Arfaptin-like domain	0.0002451461070798196	0.0002451461070798196
ArfGap	SM00105	Putative GTP-ase activating proteins for the small GTPase, ARF	0.0014218474210629536	0.0014218474210629536
Arg_tRNA_synt_N	SM01016	Arginyl tRNA synthetase N terminal dom	4.902922141596391e-05	4.902922141596391e-05
ARID	SM01014	ARID/BRIGHT DNA binding domain	0.0007354383212394587	0.0007354383212394587
ARM	SM00185	Armadillo/beta-catenin-like repeats	0.0019121396352225926	0.011619925475583447
Arrestin_C	SM01017	Arrestin (or S-antigen), C-terminal domain	0.0004902922141596392	0.0005393214355756031
ASCH	SM01022	NA	0.00014708766424789175	0.00014708766424789175
Asparaginase	SM00870	NA	4.902922141596391e-05	4.902922141596391e-05
AT_hook	SM00384	DNA binding domain with preference for A/T rich regions	0.0002941753284957835	0.0009805844283192783
AWS	SM00570	associated with SET domains	0.0002451461070798196	0.0002451461070798196
AXH	SM00536	domain in Ataxins and HMG containing proteins	0.00014708766424789175	0.00014708766424789175
B12-binding_2	SM01018	B12 binding domain	4.902922141596391e-05	4.902922141596391e-05
B2-adapt-app_C	SM01020	Beta2-adaptin appendage, C-terminal sub-domain	0.00019611688566385565	0.00019611688566385565
B3_4	SM00873	B3/4 domain	9.805844283192783e-05	9.805844283192783e-05
B41	SM00295	Band 4.1 homologues	0.0024514610707981957	0.0025495195136301238
B5	SM00874	tRNA synthetase B5 domain	4.902922141596391e-05	4.902922141596391e-05
B561	SM00665	Cytochrome b-561 / ferric reductase transmembrane domain.	0.0002941753284957835	0.0002941753284957835
BACK	SM00875	BTB And C-terminal Kelch	0.002892724063541871	0.002892724063541871
BAF	SM01023	Barrier to autointegration factor	9.805844283192783e-05	9.805844283192783e-05
BAG	SM00264	BAG domains, present in regulator of Hsp70 proteins	0.0002451461070798196	0.0003922337713277113
BAH	SM00439	Bromo adjacent homology domain	0.0005393214355756031	0.0006373798784075309
BAR	SM00721	NA	0.0007844675426554226	0.0007844675426554226
BASIC	SM00520	Basic domain in HLH proteins of MYOD family	0.00019611688566385565	0.00019611688566385565
BBC	SM00502	B-Box C-terminal domain	0.0007354383212394587	0.0007354383212394587
BBOX	SM00336	B-Box-type zinc finger	0.003432045499117474	0.004069425377525005
BC10	SM01396	Bladder cancer-related protein BC10	4.902922141596391e-05	4.902922141596391e-05
BCL	SM00337	BCL (B-Cell lymphoma); contains BH1, BH2 regions	0.00044126299274367523	0.00044126299274367523
BCS1_N	SM01024	NA	4.902922141596391e-05	4.902922141596391e-05
Beach	SM01026	Beige/BEACH domain	0.00044126299274367523	0.00044126299274367523
BEN	SM01025	NA	0.00044126299274367523	0.0006373798784075309
Beta-Casp	SM01027	Beta-Casp domain	0.00019611688566385565	0.00019611688566385565
Beta-TrCP_D	SM01028	D domain of beta-TrCP	9.805844283192783e-05	9.805844283192783e-05
BH4	SM00265	BH4 Bcl-2 homology region 4	0.00014708766424789175	0.00014708766424789175
BHD_1	SM01030	Rad4 beta-hairpin domain 1	4.902922141596391e-05	4.902922141596391e-05
BHD_2	SM01031	Rad4 beta-hairpin domain 2	4.902922141596391e-05	4.902922141596391e-05
BHD_3	SM01032	Rad4 beta-hairpin domain 3	4.902922141596391e-05	4.902922141596391e-05
BID_2	SM00635	Bacterial Ig-like domain 2	9.805844283192783e-05	9.805844283192783e-05
BING4CT	SM01033	BING4CT (NUC141) domain	4.902922141596391e-05	4.902922141596391e-05
Biotin_carb_C	SM00878	Biotin carboxylase C-terminal domain	0.0002451461070798196	0.0002451461070798196
BIR	SM00238	Baculoviral inhibition of apoptosis protein repeat	0.0003922337713277113	0.0007844675426554226
BLVR	SM01354	Bovine leukaemia virus receptor (BLVR)	4.902922141596391e-05	4.902922141596391e-05
BMC	SM00877		NA	NA
BOP1NT	SM01035	BOP1NT (NUC169) domain	4.902922141596391e-05	4.902922141596391e-05
BP28CT	SM01036	BP28CT (NUC211) domain	4.902922141596391e-05	4.902922141596391e-05
BPI1	SM00328	BPI/LBP/CETP N-terminal domain	0.0003922337713277113	0.0003922337713277113
BPI2	SM00329	BPI/LBP/CETP C-terminal domain	0.00044126299274367523	0.00044126299274367523
BRCT	SM00292	breast cancer carboxy-terminal domain	0.0008825259854873505	0.0018140811923906648
BRICHOS	SM01039	NA	0.0004902922141596392	0.0004902922141596392
BRIGHT	SM00501	BRIGHT, ARID (A/T-rich interaction domain) domain	0.0007354383212394587	0.0007354383212394587
Brix	SM00879	NA	0.0002451461070798196	0.0002451461070798196
BRK	SM00592	domain in transcription and CHROMO domain helicases	0.0002941753284957835	0.00044126299274367523
BRLZ	SM00338	basic region leucin zipper	0.0025495195136301238	0.0025495195136301238
BRO1	SM01041	BRO1-like domain	0.0002941753284957835	0.0002941753284957835
BROMO	SM00297	bromo domain	0.0020101980780545207	0.002745636399293979
BSD	SM00751	domain in transcription factors and synapse-associated proteins	0.00014708766424789175	0.00019611688566385565
BTB	SM00225	Broad-Complex, Tramtrack and Bric a brac	0.00853108452637772	0.008923318297705433
BTD	SM01268	Beta-trefoil DNA-binding domain	9.805844283192783e-05	9.805844283192783e-05
btg1	SM00099	tob/btg1 family	0.0002941753284957835	0.0002941753284957835
BTK	SM00107	Bruton's tyrosine kinase Cys-rich motif	0.00044126299274367523	0.00044126299274367523
BTP	SM00576	Bromodomain transcription factors and PHD domain containing proteins	0.00014708766424789175	0.00014708766424789175
Btz	SM01044	CASC3/Barentsz eIF4AIII binding	4.902922141596391e-05	4.902922141596391e-05
BURP	SM01045		NA	NA
C1	SM00109	Protein kinase C conserved region 1 (C1) domains (Cysteine-rich domains)	0.0030888409492057264	0.004167483820356933
C1_4	SM01047	TFIIH C1-like domain	9.805844283192783e-05	9.805844283192783e-05
C1Q	SM00110	Complement component C1q domain.	0.0015199058638948814	0.0015689350853108452
C2	SM00239	Protein kinase C conserved region 2 (CalB)	0.006128652676995489	0.010884487154343989
C345C	SM00643	Netrin C-terminal Domain	0.0007844675426554226	0.0007844675426554226
C4	SM00111	C-terminal tandem repeated domain in type 4 procollagens	0.0002941753284957835	0.000588350656991567
C6	SM01048		NA	NA
C8	SM00832	NA	0.0006864090998234948	0.0026475779564620514
CA	SM00112	Cadherin repeats.	0.005589331241419886	0.03966464012551481
Ca_chan_IQ	SM01062	Voltage gated calcium channel IQ domain	0.0003432045499117474	0.0003432045499117474
Cache_2	SM01049		NA	NA
CactinC_cactus	SM01050	Cactus-binding C-terminus of cactin protein	9.805844283192783e-05	9.805844283192783e-05
CAD	SM00266	Domains present in proteins implicated in post-mortem DNA fragmentation	0.0002451461070798196	0.0002451461070798196
CADG	SM00736	Dystroglycan-type cadherin-like domains.	0.00014708766424789175	0.00019611688566385565
Cadherin_pro	SM01055	Cadherin prodomain like	0.0003922337713277113	0.0003922337713277113
CALCITONIN	SM00113	calcitonin	0.00019611688566385565	0.00019611688566385565
calpain_III	SM00720	NA	0.000588350656991567	0.0006373798784075309
Calx_beta	SM00237	Domains in Na-Ca exchangers and integrin-beta4	0.0003922337713277113	0.0019121396352225926
CaMBD	SM01053	Calmodulin binding domain	0.00019611688566385565	0.00019611688566385565
CAMSAP_CKK	SM01051	Microtubule-binding calmodulin-regulated spectrin-associated	0.00014708766424789175	0.00014708766424789175
CAP10	SM00672	Putative lipopolysaccharide-modifying enzyme.	0.00014708766424789175	0.00014708766424789175
CAP_GLY	SM01052	NA	0.0004902922141596392	0.0008334967640713865
Carb_anhydrase	SM01057	Eukaryotic-type carbonic anhydrase	0.0008334967640713865	0.0008334967640713865
CARD	SM00114	Caspase recruitment domain	0.000588350656991567	0.000588350656991567
CARP	SM00673	Domain in CAPs (cyclase-associated proteins) and X-linked retinitis pigmentosa 2 gene product.	0.0002451461070798196	0.0004902922141596392
CASc	SM00115	Caspase, interleukin-1 beta converting enzyme (ICE) homologues	0.0006373798784075309	0.0006373798784075309
CASH	SM00722	 Domain present in carbohydrate binding proteins and sugar hydrolses	0.00014708766424789175	0.0003432045499117474
Catalase	SM01060	NA	4.902922141596391e-05	4.902922141596391e-05
Cation_ATPase_N	SM00831	Cation transporter/ATPase, N-terminus	0.0007844675426554226	0.0007844675426554226
CBF	SM00521	CCAAT-Binding transcription Factor	4.902922141596391e-05	4.902922141596391e-05
CBM_2	SM01065	Starch binding domain	0.00014708766424789175	0.00014708766424789175
CBS	SM00116	Domain in cystathionine beta-synthase and other proteins.	0.0006864090998234948	0.0015199058638948814
c-clamp	SM01366	NA	0.00019611688566385565	0.00019611688566385565
CCP	SM00032	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)	0.0025985487350460874	0.016473818395763874
CDC37_C	SM01069	Cdc37 C terminal domain	4.902922141596391e-05	4.902922141596391e-05
CDC37_M	SM01070	Cdc37 Hsp90 binding domain	9.805844283192783e-05	9.805844283192783e-05
CDC37_N	SM01071	Cdc37 N terminal kinase binding	4.902922141596391e-05	4.902922141596391e-05
CDC48_2	SM01072	Cell division protein 48 (CDC48) domain 2	9.805844283192783e-05	9.805844283192783e-05
CDC48_N	SM01073	Cell division protein 48 (CDC48) N-terminal domain	9.805844283192783e-05	9.805844283192783e-05
Cdc6_C	SM01074	CDC6, C terminal	9.805844283192783e-05	9.805844283192783e-05
CDT1	SM01075	DNA replication factor CDT1 like	4.902922141596391e-05	4.902922141596391e-05
CENPB	SM00674	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.	0.000588350656991567	0.000588350656991567
CFEM	SM00747		NA	NA
CG-1	SM01076	NA	9.805844283192783e-05	9.805844283192783e-05
Cg6151-P	SM01077	Uncharacterized conserved protein CG6151-P	4.902922141596391e-05	4.902922141596391e-05
CGGC	SM01078		NA	NA
CH	SM00033	Calponin homology domain	0.0032359286134536185	0.004804863698764463
CHAD	SM00880		NA	NA
CHASE	SM01079		NA	NA
CHASE2	SM01080		NA	NA
CHRD	SM00754	A domain in the BMP inhibitor chordin and in microbial proteins.	4.902922141596391e-05	0.00019611688566385565
CHROMO	SM00298	Chromatin organization modifier domain	0.0014708766424789174	0.0020592272994704843
ChSh	SM00300	Chromo Shadow Domain	0.00014708766424789175	0.00014708766424789175
ChtBD2	SM00494	Chitin-binding domain type 2	9.805844283192783e-05	9.805844283192783e-05
CHZ	SM01082	Histone chaperone domain CHZ	4.902922141596391e-05	4.902922141596391e-05
CIMR	SM01404	Cation-independent mannose-6-phosphate receptor repeat	4.902922141596391e-05	0.0006864090998234948
Cir_N	SM01083	N-terminal domain of CBF1 interacting co-repressor CIR	0.00014708766424789175	0.00014708766424789175
CK_II_beta	SM01085	Casein kinase II regulatory subunit	4.902922141596391e-05	4.902922141596391e-05
CKS	SM01084	Cyclin-dependent kinase regulatory subunit	9.805844283192783e-05	9.805844283192783e-05
CLa	SM00035	CLUSTERIN alpha chain	9.805844283192783e-05	9.805844283192783e-05
CLb	SM00030	CLUSTERIN Beta chain	9.805844283192783e-05	9.805844283192783e-05
CLECT	SM00034	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)	0.0041184545989409686	0.00563836046283585
CLH	SM00299	Clathrin heavy chain repeat homology	0.00014708766424789175	0.0007354383212394587
ClpB_D2-small	SM01086	C-terminal, D2-small domain, of ClpB protein	9.805844283192783e-05	9.805844283192783e-05
CNH	SM00036	Domain found in NIK1-like kinases, mouse citron and yeast ROM1, ROM2	0.0006864090998234948	0.0006864090998234948
cNMP	SM00100	Cyclic nucleotide-monophosphate binding domain	0.0015199058638948814	0.0020592272994704843
CNX	SM00037	Connexin homologues	0.0009805844283192783	0.0009805844283192783
CoA_binding	SM00881	CoA binding domain	9.805844283192783e-05	9.805844283192783e-05
CoA_trans	SM00882	Coenzyme A transferase	9.805844283192783e-05	0.00019611688566385565
CobW_C	SM00833	 Cobalamin synthesis protein cobW C-terminal domain	0.00014708766424789175	0.00014708766424789175
CO_deh_flav_C	SM01092	CO dehydrogenase flavoprotein C-terminal domain	9.805844283192783e-05	9.805844283192783e-05
Cog4	SM00762	COG4 transport protein	4.902922141596391e-05	4.902922141596391e-05
COG6	SM01087	Conserved oligomeric complex COG6	4.902922141596391e-05	4.902922141596391e-05
COLFI	SM00038	Fibrillar collagens C-terminal domain	0.0005393214355756031	0.0005393214355756031
COLIPASE	SM00023	Colipase	9.805844283192783e-05	9.805844283192783e-05
Connexin_CCC	SM01089	Gap junction channel protein cysteine-rich domain	0.0010296136497352421	0.0010296136497352421
Copper-fist	SM01090		NA	NA
Cornichon	SM01398	NA	0.00019611688566385565	0.00019611688566385565
Costars	SM01283	NA	9.805844283192783e-05	9.805844283192783e-05
CPDc	SM00577	catalytic domain of ctd-like phosphatases	0.0003922337713277113	0.0003922337713277113
Cpn10	SM00883	Chaperonin 10 Kd subunit	4.902922141596391e-05	4.902922141596391e-05
CPSase_L_D3	SM01096	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	9.805844283192783e-05	9.805844283192783e-05
CPSase_sm_chain	SM01097	Carbamoyl-phosphate synthase small chain, CPSase domain	9.805844283192783e-05	9.805844283192783e-05
CPSF73-100_C	SM01098	NA	4.902922141596391e-05	4.902922141596391e-05
CPW_WPC	SM01099		NA	NA
CRA	SM00757	CT11-RanBPM	0.0002941753284957835	0.0002941753284957835
CRAL_TRIO_N	SM01100	CRAL/TRIO, N-terminal domain	0.000588350656991567	0.000588350656991567
CRF	SM00039	corticotropin-releasing factor	9.805844283192783e-05	9.805844283192783e-05
CRISPR_assoc	SM01101		NA	NA
CRM1_C	SM01102	CRM1 C terminal	4.902922141596391e-05	4.902922141596391e-05
CRS1_YhbY	SM01103		NA	NA
CSF2	SM00040	Granulocyte-macrophage colony-simulating factor (GM-CSF)	4.902922141596391e-05	4.902922141596391e-05
c-SKI_SMAD_bind	SM01046	c-SKI Smad4 binding domain	0.00019611688566385565	0.00019611688566385565
CSP	SM00357	Cold shock protein domain	0.0003922337713277113	0.000588350656991567
CT	SM00041	C-terminal cystine knot-like domain (CTCK)	0.0010786428711512062	0.0010786428711512062
CTD	SM01104	Spt5 C-terminal nonapeptide repeat binding Spt4	9.805844283192783e-05	9.805844283192783e-05
CTLH	SM00668	C-terminal to LisH motif.	0.00044126299274367523	0.00044126299274367523
CTNS	SM00679	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.	0.00019611688566385565	0.0003922337713277113
CUB	SM00042	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.	0.002353402627966268	0.007452441655226515
CUE	SM00546	Domain that may be involved in binding ubiquitin-conjugating enzymes (UBCs)	0.0003432045499117474	0.0003432045499117474
CULLIN	SM00182	Cullin	0.0003432045499117474	0.0003432045499117474
Cullin_Nedd8	SM00884	Cullin protein neddylation domain	0.0003922337713277113	0.0003922337713277113
CUT	SM01109	NA	0.0003432045499117474	0.0006373798784075309
Cutinase	SM01110		NA	NA
CVNH	SM01111		NA	NA
cwf21	SM01115	NA	9.805844283192783e-05	9.805844283192783e-05
CXC	SM01114	Tesmin/TSO1-like CXC domain	0.0002941753284957835	0.0003922337713277113
CY	SM00043	Cystatin-like domain	0.0007844675426554226	0.0010296136497352421
CYCc	SM00044	Adenylyl- / guanylyl cyclase, catalytic domain	0.0008825259854873505	0.0013237889782310257
CYCLIN	SM00385	domain present in cyclins, TFIIB and Retinoblastoma	0.001716022749558737	0.0025495195136301238
Cyclin_C	SM01332	NA	0.0008334967640713865	0.0008334967640713865
CysPc	SM00230	Calpain-like thiol protease family.	0.0007354383212394587	0.0007354383212394587
Cyt-b5	SM01117	Cytochrome b5-like Heme/Steroid binding domain	0.0007354383212394587	0.0007354383212394587
CYTH	SM01118	NA	4.902922141596391e-05	4.902922141596391e-05
DAGKa	SM00045	Diacylglycerol kinase accessory domain (presumed)	0.0004902922141596392	0.0004902922141596392
DAGKc	SM00046	Diacylglycerol kinase catalytic domain (presumed)	0.0006864090998234948	0.0006864090998234948
Dak1_2	SM01121		NA	NA
Dak2	SM01120	NA	4.902922141596391e-05	4.902922141596391e-05
DALR_1	SM00836	DALR anticodon binding domain	0.00014708766424789175	0.00014708766424789175
DALR_2	SM00840		NA	NA
DAX	SM00021	Domain present in Dishevelled and axin	0.0003432045499117474	0.0003432045499117474
DBB	SM01282	Dof, BCAP, and BANK (DBB) motif	9.805844283192783e-05	9.805844283192783e-05
DBC1	SM01122	NA	9.805844283192783e-05	9.805844283192783e-05
DBP10CT	SM01123	DBP10CT (NUC160) domain	4.902922141596391e-05	4.902922141596391e-05
DBR1	SM01124	Lariat debranching enzyme, C-terminal domain	4.902922141596391e-05	4.902922141596391e-05
DCD	SM00767		NA	NA
DCP2	SM01125	Dcp2, box A domain	4.902922141596391e-05	4.902922141596391e-05
DCX	SM00537	Domain in the Doublecortin (DCX) gene product	0.00044126299274367523	0.0009315552069033144
dDENN	SM00801	Domain always found downstream of DENN domain, found in a variety of signalling proteins	0.0007844675426554226	0.0007844675426554226
DDHD	SM01127	NA	0.0002941753284957835	0.0002941753284957835
DDRGK	SM01128	NA	4.902922141596391e-05	4.902922141596391e-05
DDT	SM00571	domain in different transcription and chromosome remodeling factors	0.0002451461070798196	0.0002451461070798196
DEATH	SM00005	DEATH domain, found in proteins involved in cell death (apoptosis).	0.0013237889782310257	0.0013237889782310257
DED	SM00031	Death effector domain	0.0003432045499117474	0.0004902922141596392
DEFSN	SM00048	Defensin/corticostatin family	0.0002941753284957835	0.0002941753284957835
DELLA	SM01129	Transcriptional regulator DELLA protein N terminal	4.902922141596391e-05	4.902922141596391e-05
DENN	SM00799	Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN	0.0007844675426554226	0.0007844675426554226
DeoC	SM01133	DeoC/LacD family aldolase	4.902922141596391e-05	4.902922141596391e-05
DEP	SM00049	Domain found in Dishevelled, Egl-10, and Pleckstrin	0.0010786428711512062	0.0012257305353990978
DEXDc	SM00487	DEAD-like helicases superfamily	0.005344185134340066	0.0054422435771719945
DEXDc2	SM00488	NA	0.0002941753284957835	0.0002941753284957835
DHDPS	SM01130	Dihydrodipicolinate synthetase family	9.805844283192783e-05	9.805844283192783e-05
DHHA2	SM01131	NA	9.805844283192783e-05	9.805844283192783e-05
DIL	SM01132	NA	0.0002941753284957835	0.0002941753284957835
DIM1	SM01410	Mitosis protein DIM1	9.805844283192783e-05	9.805844283192783e-05
DIRP	SM01135	NA	4.902922141596391e-05	4.902922141596391e-05
DISIN	SM00050	Homologues of snake disintegrins	0.0010786428711512062	0.0010786428711512062
DKCLD	SM01136	DKCLD (NUC011) domain	4.902922141596391e-05	4.902922141596391e-05
DM	SM00301	Doublesex DNA-binding motif	0.0003432045499117474	0.0003432045499117474
DM10	SM00676	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.	0.00014708766424789175	0.0003432045499117474
DM14	SM00685	Repeats in fly CG4713, worm Y37H9A.3 and human FLJ20241.	9.805844283192783e-05	0.0003922337713277113
DM15	SM00684	Tandem repeat in fly CG14066 (La related protein), human KIAA0731 and worm R144.7. Unknown function.	9.805844283192783e-05	0.0002941753284957835
DM16	SM00683	Repeats in sea squirt COS41.4, worm R01H10.6, fly CG1126 etc.	4.902922141596391e-05	9.805844283192783e-05
DM3	SM00692	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.	0.000588350656991567	0.000588350656991567
DMAP_binding	SM01137	DMAP1-binding Domain	0.0002941753284957835	0.0002941753284957835
DnaJ	SM00271	DnaJ molecular chaperone homology domain	0.002304373406550304	0.002304373406550304
DNA_mis_repair	SM01340	DNA mismatch repair protein, C-terminal domain	0.00019611688566385565	0.00019611688566385565
DNaseIc	SM00476	deoxyribonuclease I	0.00019611688566385565	0.00019611688566385565
DoH	SM00664	Possible catecholamine-binding domain present in a variety of eukaryotic proteins.	0.0002451461070798196	0.0002451461070798196
DP	SM01138	Transcription factor DP	0.00014708766424789175	0.00014708766424789175
Drf_FH3	SM01139	Diaphanous FH3 Domain	0.00044126299274367523	0.00044126299274367523
Drf_GBD	SM01140	Diaphanous GTPase-binding Domain	0.00044126299274367523	0.00044126299274367523
DRY_EERY	SM01141	Alternative splicing regulator	9.805844283192783e-05	9.805844283192783e-05
DSHCT	SM01142	NA	9.805844283192783e-05	9.805844283192783e-05
DSL	SM00051	delta serrate ligand	0.00019611688566385565	0.00019611688566385565
DSPc	SM00195	Dual specificity phosphatase, catalytic domain	0.0018140811923906648	0.0018140811923906648
DSRM	SM00358	Double-stranded RNA binding motif	0.0008334967640713865	0.001765051970974701
DSS1_SEM1	SM01385	NA	4.902922141596391e-05	4.902922141596391e-05
DTW	SM01144	NA	9.805844283192783e-05	9.805844283192783e-05
DUF1041	SM01145	Domain of Unknown Function (DUF1041)	0.0002451461070798196	0.0002451461070798196
DUF106	SM01415	Integral membrane protein DUF106	9.805844283192783e-05	9.805844283192783e-05
DUF1086	SM01146	Domain of Unknown Function (DUF1086)	0.00014708766424789175	0.00014708766424789175
DUF1087	SM01147	NA	0.00014708766424789175	0.00014708766424789175
DUF1220	SM01148	Repeat of unknown function (DUF1220)	0.0008334967640713865	0.009805844283192783
DUF1237	SM01149		NA	NA
DUF1338	SM01150		NA	NA
DUF1518	SM01151	NA	0.00014708766424789175	0.00019611688566385565
DUF167	SM01152	NA	4.902922141596391e-05	4.902922141596391e-05
DUF1693	SM01153	Domain of unknown function (DUF1693)	0.00019611688566385565	0.00019611688566385565
DUF1704	SM01154	NA	9.805844283192783e-05	9.805844283192783e-05
DUF1713	SM01155	Mitochondrial domain of unknown function (DUF1713)	4.902922141596391e-05	4.902922141596391e-05
DUF1716	SM01156	Eukaryotic domain of unknown function (DUF1716)	4.902922141596391e-05	4.902922141596391e-05
